Dag,Week,grootte in cm,gewicht in gr,Baby Size Comparison,Partner Observation,Papa's Life Lesson,Meer informatie,Leuke dingen per dag,Image Idea,Citation
235,34,44.36,2053.57,Een honkbalknuppel,Ze heeft vandaag een 'ik-ben-een-slechte-moeder'-gedachte omdat ze fantaseert over een nacht doorslapen.,"Zeg: 'Elke moeder (en vader) fantaseert daarover. Dat maakt je menselijk, niet slecht.'",Het verlangen naar slaap en 'eigen tijd' is normaal en betekent niet dat je niet van je kind houdt.,Ze droomt van de 'verboden vrucht': 8 uur ononderbroken slaap.,Een flespompoen die droomt over een bed met een groot 'verboden toegang'-bord erop.,https://www.oudersvannu.nl/baby/het-eerste-jaar/doorslapen/
236,34,44.54,2085.71,Een honkbalknuppel,Ze heeft vandaag een 'ik-ben-zo-trots-op-ons'-moment.,Pak dat moment. Zeg: 'Ik ook. Kijk eens hoe ver we gekomen zijn.',Te midden van alle ongemakken kan ook het besef van de gezamenlijke prestatie indalen.,Jullie hebben samen een berg beklommen. En de top is in zicht.,Twee flespompoenen die elkaar een high five geven op de top van een berg.,https://www.oudersvannu.nl/zwanger/relatie/je-relatie-tijdens-de-zwangerschap/
237,34,44.72,2117.86,Een honkbalknuppel,Ze heeft vandaag een 'laten-we-de-namenlijst-finaliseren'-drang.,Tijd om de knoop door te hakken. Maak een top 3. En beslis. Of beslis om in het ziekenhuis te beslissen.,De naam kiezen is een grote beslissing. Het kan helpen om de keuze voor de bevalling te maken.,De 'namen-commissie' komt voor de laatste keer bijeen.,Twee flespompoenen die naar een whiteboard kijken met daarop drie namen.,https://www.oudersvannu.nl/zwanger/babynamen/babynaam-kiezen-tips/
238,34,44.9,2150.0,Een honkbalknuppel,Ze heeft vandaag een 'ik-ben-er-klaar-mee'-gevoel dat sterker is dan ooit.,"Leid haar af. Ga de stad in, koop het eerste pakje voor de baby. Een concrete, leuke taak.",Het wachten is slopend. Afleiding is de sleutel.,Ze zit in de 'wachtkamer' van het leven. En de tijdschriften zijn allemaal uit 1998.,Een flespompoen die verveeld in een wachtkamer zit.,https://www.oudersvannu.nl/zwanger/zwangerschap/derde-trimester/
239,35,45.08,2182.14,Een complete gereedschapskist (klein),Ze verliest vandaag misschien (een deel van) de slijmprop. Een teken dat de bevalling dichterbij komt.,Geen paniek. Het kan nog dagen of zelfs weken duren. Zie het als een 'aankondiging' van de komende attractie.,"De slijmprop sluit de baarmoedermond af. Het verliezen ervan betekent dat het lichaam zich voorbereidt, maar het is geen startschot.","De 'kurk' is van de fles. De champagne kan nog even koud blijven staan, maar het feest komt eraan.","Een honingmeloen waar een klein, slijmerig propje uitvalt.",https://deverloskundige.nl/bevalling/subtekstpagina/42/de-slijmprop/
240,35,45.26,2214.29,Een complete gereedschapskist (klein),"Ze heeft vandaag een 'alles-doet-pijn'-dag. Haar rug, haar bekken, haar voeten.","Maak een 'spa-dag' thuis. Een warm bad, een massage, een film, haar favoriete eten. Verwennerij is de beste pijnstiller.",Het gewicht van de baby en de hormonale veranderingen eisen hun tol.,"Haar lichaam is een oud, krakend huis in een storm.",Een honingmeloen die van top tot teen in het verband zit.,https://www.oudersvannu.nl/zwanger/zwangerschap/derde-trimester/
241,35,45.44,2246.43,Een complete gereedschapskist (klein),Ze heeft vandaag een 'ik-ga-bevallen-op-een-verjaardag'-angst.,Zeg: 'Dan krijgt die persoon het beste verjaardagscadeau ooit.' Buig de angst om naar iets positiefs.,De angst om de controle te verliezen en op een 'ongelegen' moment te bevallen is normaal.,Ze is bang dat de 'bom' afgaat tijdens een staatsbanket.,Een honingmeloen die op een kalender kijkt en alle verjaardagen omcirkelt.,https://www.oudersvannu.nl/zwanger/bevalling/angst-voor-de-bevalling/
242,35,45.61,2278.57,Een complete gereedschapskist (klein),Ze heeft vandaag een 'ik-wil-dat-de-babykamer-af-is'-deadline.,"Dit is jouw moment om te shinen. Zet de laatste schroef in de commode, hang het laatste plankje op. Maak het af.",Een afgeronde babykamer geeft een gevoel van rust en voorbereiding.,De 'deadline' van de projectmanager is heilig.,"Een man die het laatste schroefje van een babybedje aandraait, terwijl een zwangere vrouw goedkeurend toekijkt.",https://www.oudersvannu.nl/baby/babykamer/babykamer-inrichten/
243,35,45.79,2310.71,Een complete gereedschapskist (klein),Ze heeft vandaag een 'ik-ben-zo-benieuwd-naar-wie-hij/zij-is'-dag.,Praat erover. 'Denk je dat hij jouw neus heeft? Of mijn slechte humor?' Fantaseer samen.,De nieuwsgierigheid naar het karakter en uiterlijk van de baby wordt steeds groter.,Jullie wachten op een 'mystery guest'.,Twee honingmeloenen die naar een buik kijken waar een groot vraagteken op staat.,https://www.oudersvannu.nl/zwanger/zwangerschap/contact-maken-met-je-baby-in-je-buik/
244,35,45.97,2342.86,Een complete gereedschapskist (klein),Ze heeft vandaag een 'ik-ben-er-klaar-voor-maar-ook-niet'-gevoel.,Zeg: 'Niemand is ooit 100% klaar. Maar we zijn er zo klaar voor als we kunnen zijn. En we doen het samen.',Ambivalentie is normaal. Het is een mix van opwinding en angst.,"Ze staat op de hoogste duikplank ter wereld. Ze wil springen, maar haar knieën knikken.",Een honingmeloen die op het puntje van een duikplank staat en naar beneden kijkt.,https://www.oudersvannu.nl/zwanger/bevalling/mentale-voorbereiding-op-de-bevalling/
245,35,46.15,2375.0,Een complete gereedschapskist (klein),"Ze heeft vandaag een 'laten-we-de-auto-inpakken'-dag. De Maxi-Cosi, de vluchttas.",Doe het. Het geeft een gevoel van controle. En het scheelt stress als het eenmaal zover is.,Een goede voorbereiding is het halve werk. Zorg dat alles klaarstaat voor de rit naar het ziekenhuis.,De 'vluchtauto' wordt klaargemaakt voor de missie.,Een man die een Maxi-Cosi in een auto installeert.,https://www.oudersvannu.nl/baby/veiligheid/maxi-cosi-in-de-auto-installeren/
246,36,46.33,2407.14,Een autowiel (klein),De baby is vanaf nu 'a term'. Hij is klaar om geboren te worden.,Dit is een grote mijlpaal. Vier het. De baby is 'af'. Nu is het alleen nog wachten.,Vanaf 37 weken is een baby niet meer prematuur. De longen zijn rijp en hij kan zelfstandig ademhalen.,De taart is gebakken. Nu moet hij alleen nog uit de oven komen.,Een galiameloen met een 'Klaar!'-stempel erop.,https://www.24baby.nl/zwanger/zwangerschap-van-week-tot-week/36-weken-zwanger/
247,36,46.51,2439.29,Een autowiel (klein),"Ze heeft vandaag 'indalingsweeën'. Scherpe, stekende pijnen in haar liezen en vagina.","Een warm bad kan helpen. Het is een pijnlijk, maar goed teken. De baby zakt dieper in.",Indalingsweeën worden veroorzaakt doordat het hoofdje van de baby diep in het bekken drukt.,De baby is zijn 'parkeermanoeuvre' aan het afronden. Dat gaat met wat gestoot en geschraap.,Een galiameloen die zich in een krappe parkeerplek probeert te wurmen.,https://deverloskundige.nl/zwangerschap/subtekstpagina/35/indaling/
248,36,46.69,2471.43,Een autowiel (klein),Ze heeft vandaag een 'ik-durf-de-deur-niet-meer-uit'-angst. 'Wat als het onderweg begint?',"Stel haar gerust. 'De kans is klein. En als het gebeurt, dan lossen we het op. Laten we een klein rondje lopen.'","De angst om buitenshuis te bevallen kan haar belemmeren. Blijf dicht bij huis, maar probeer wel in beweging te blijven.",Ze heeft 'huisarrest' van zichzelf gekregen.,Een galiameloen die angstig door het raam naar buiten kijkt.,https://www.oudersvannu.nl/zwanger/bevalling/angst-voor-de-bevalling/
249,36,46.86,2503.57,Een autowiel (klein),Ze heeft vandaag een 'ik-slaap-zittend'-nacht. De enige houding die nog een beetje werkt.,Bouw het kussen-fort nog hoger. Zorg voor ondersteuning in haar rug.,Platliggen is voor veel vrouwen in deze fase onmogelijk door maagzuur en kortademigheid.,Ze is de koningin op haar troon van kussens.,Een vrouw die zittend in een groot fort van kussens in bed slaapt.,https://www.oudersvannu.nl/zwanger/zwangerschapskwalen/slecht-slapen-tijdens-zwangerschap/
250,36,47.04,2535.71,Een autowiel (klein),Ze heeft vandaag een 'laatste-avondmaal'-gevoel en wil haar favoriete (maar vette) maaltijd.,"Geef het haar. De kans is groot dat het er weer uitkomt tijdens de bevalling, maar dat is een zorg voor later.","Een bevalling kost veel energie. Een goede, stevige maaltijd kan helpen.",Ze is aan het 'carb-loaden' voor de marathon.,"Een galiameloen die een grote, vette hamburger eet.",https://deverloskundige.nl/bevalling/subtekstpagina/43/het-begin-van-de-bevalling/
