Dag,Week,grootte in cm,gewicht in gr,Baby Size Comparison,Partner Observation,Papa's Life Lesson,Meer informatie,Leuke dingen per dag,Image Idea,Citation
48,7,1.2,0.71,Een 9mm kogel,Ze maakt zich zorgen over de eerste echo. 'Wat als er niks te zien is? Wat als het hartje niet klopt?',"Stel haar gerust. 'De kans is heel groot dat alles goed is. En wat er ook gebeurt, we doen het samen.' Dat laatste is het belangrijkst.",Zorgen voor de eerste echo zijn heel normaal. Het is het eerste moment van echte bevestiging. De hersenactiviteit van de baby begint nu.,"De baby's hersenen zenden hun eerste signalen uit. Waarschijnlijk iets als: 'Maak je geen zorgen daarbuiten, ik heb het hier prima.'",Een kikkererwt met kleine bliksemschichtjes die uit zijn hoofd komen.,https://deverloskundige.nl/zwangerschap/subtekstpagina/24/echo-s/
49,7,1.25,0.75,Een 9mm kogel,"Ze voelt zich vandaag 'gewoon niet zwanger'. Geen misselijkheid, geen vermoeidheid. Dit zorgt voor paniek.","'Geniet er even van,' is het foute antwoord. Zeg: 'Symptomen komen en gaan, dat is normaal. Het betekent niks.'","Het is heel normaal dat symptomen fluctueren. Een dag zonder kwalen is geen slecht teken, maar kan wel voor onzekerheid zorgen.",De hormonen hebben vandaag een collectieve snipperdag genomen. Morgen zijn ze weer vol aan de bak.,Een kalender waar een dag is omcirkeld met 'Hormoon Vrije Dag'.,https://www.babycenter.nl/x25012297/is-het-normaal-dat-mijn-zwangerschapssymptomen-verdwijnen
50,8,1.3,0.79,Een golfbal,Vandaag is de dag dat ze het misschien aan haar ouders vertelt. De spanning is om te snijden.,"Jouw rol: steunpilaar. Sta naast haar, houd haar hand vast en lach om de flauwe grapjes van je schoonvader.","Het aan de (schoon)ouders vertellen is een grote mijlpaal. Wees voorbereid op allerlei reacties, van tranen van geluk tot ongevraagd advies.",Jullie lanceren vandaag de 'bom'. De reacties kunnen variëren van een vreugdedans tot een complete 'system meltdown'. Wees op alles voorbereid.,"Een framboos die een microfoon vasthoudt, klaar voor een grote aankondiging.",https://www.oudersvannu.nl/zwanger/zwangerschap/wanneer-vertel-je-dat-je-zwanger-bent/
51,8,1.35,0.82,Een golfbal,"Ze heeft vandaag een 'ik pas niks meer'-crisis, ook al is er nog geen buik te zien.","Tijd voor de 'joggingbroek-upgrade'. Koop een nieuwe, comfortabele broek voor haar. Niet sexy, wel een schot in de roos.",Een opgeblazen gevoel en gevoelige buik kunnen ervoor zorgen dat haar normale kleding al niet meer lekker zit.,"Haar kleding en haar buik hebben ruzie. Jij bent de diplomaat die met een vredesvoorstel komt: een zachte, elastische band.",Een spijkerbroek en een joggingbroek die aan het touwtrekken zijn.,https://www.24baby.nl/zwanger/mode-beauty/zwangerschapskleding/
52,8,1.4,0.86,Een golfbal,"Ze heeft vandaag extra speeksel. Klinkt raar, is het ook. Ze moet vaker slikken.","Merk het niet op. Of als je het opmerkt, zeg er niks over. Sommige dingen zijn te raar voor woorden.","Overmatige speekselproductie (ptyalisme) is een zeldzamer, maar vervelend kwaaltje. Het hangt vaak samen met misselijkheid.",Haar speekselklieren werken overuren. Ze produceren voor een heel elftal.,Een framboos die aan het surfen is op een golf van speeksel.,https://www.babycenter.nl/a549286/overmatige-speekselproductie-tijdens-de-zwangerschap
53,8,1.45,0.89,Een golfbal,Ze leest vandaag een artikel over een of andere zeldzame complicatie en is in alle staten.,Sla de laptop dicht. Zeg: 'Dr. Google is een idioot. Laten we onze verloskundige vertrouwen.' Leid haar af met een film.,Te veel informatie zoeken op internet kan leiden tot onnodige angst. Beperk de 'research' tot betrouwbare bronnen.,Het internet is een konijnenhol vol enge verhalen. Jouw taak is om haar af en toe uit dat hol te trekken.,Een man die een laptop dichtklapt waar een spook uit komt.,https://deverloskundige.nl/zwangerschap/subtekstpagina/108/informatie-en-advies/
54,8,1.5,0.93,Een golfbal,Ze is vandaag sentimenteel. Ze vindt een oude foto en begint te huilen.,Knuffel. Zeg niks. Laat de emotie er gewoon zijn. Je hoeft het niet op te lossen.,"De hormonen versterken alle emoties, zowel positieve als negatieve. Sentimentaliteit hoort daar ook bij.",Haar hart is vandaag een open kraan. De kleinste aanleiding zorgt voor een overstroming.,Een framboos die een traantje wegpinkt bij een oude foto.,https://www.siriz.nl/net-zwanger/emoties-tijdens-je-zwangerschap
55,8,1.55,0.96,Een golfbal,"Ze heeft vandaag een 'brain fog'. Ze vergeet haar sleutels, haar afspraak, haar eigen naam bijna.",Wees haar geheugensteun. Stuur een appje om haar aan die afspraak te herinneren. Zie jezelf als haar persoonlijke assistent.,"'Zwangerschapsbrein' is in volle gang. Haar hersenen zijn druk met andere dingen, dus de 'normale' functies staan op een lager pitje.","De harde schijf in haar hoofd is aan het defragmenteren. Het is een zooitje, maar het komt goed.",Een brein vol met mist en vraagtekens.,https://www.oudersvannu.nl/zwanger/zwangerschapskwalen/zwangerschapsdementie/
56,8,1.6,1.0,Een golfbal,"De termijnecho komt dichterbij. De zenuwen gieren door haar lijf, en stiekem ook door het jouwe.","Plan iets leuks om te doen ná de echo. Een lunch, een wandeling. Iets om naar uit te kijken, wat de uitslag ook is.",De termijnecho (rond 10-12 weken) is een grote mijlpaal. De uitgerekende datum wordt vastgesteld en je ziet een echt mini-mensje.,Dit is de eerste grote 'apk-keuring' van de baby. Logisch dat de eigenaren (jullie) zenuwachtig zijn.,"Een kalender met een grote rode cirkel om de 'echo-dag', met bliksemschichten eromheen.",https://www.24baby.nl/zwanger/onderzoeken/termijnecho/
57,9,1.74,1.46,Een AA-batterij,Vandaag heeft ze haar eerste 'echte' zwangerschapsbroek gekocht. Het voelt als een nederlaag en een overwinning tegelijk.,Zeg: 'Staat je goed! En ziet er super comfortabel uit.' Comfort is de komende maanden de heilige graal.,"De baby is nu officieel geen embryo meer, maar een foetus. Alle essentiële organen zijn aangelegd en beginnen nu te rijpen. De staart is verdwenen.",De kleine heeft een promotie gemaakt! Van 'embryo in opleiding' naar 'junior foetus'. Dit vraagt om een high five (op afstand).,"Een olijf met een klein stropdasje om, zittend achter een bureau met 'Foetus' erop.",https://www.24baby.nl/zwanger/zwangerschap-van-week-tot-week/9-weken-zwanger/
