Dag,Week,grootte in cm,gewicht in gr,Baby Size Comparison,Partner Observation,Papa's Life Lesson,Meer informatie,Leuke dingen per dag,Image Idea,Citation
143,21,26.07,332.14,Een American Football (jeugdmaat),De schopjes en bewegingen worden nu krachtiger en specifieker. Ze kan soms een hieltje of een elleboog voelen.,Neem de tijd om dit samen te ervaren. Leg je hoofd op haar buik en luister. Het is de meest bizarre en coole ervaring die er is.,De coördinatie van de baby wordt steeds beter. Hij kan nu gerichte bewegingen maken.,De baby is zijn kamer aan het verbouwen. Hij duwt de muren even opzij om te kijken of er meer ruimte te creëren is.,Een hand die een duidelijke afdruk van een klein voetje tegen de binnenkant van een buik duwt.,https://www.babycenter.nl/a25004925/de-ontwikkeling-van-je-baby-21-weken-zwanger
144,21,26.23,342.86,Een American Football (jeugdmaat),Ze maakt zich vandaag zorgen over geld. 'Een baby is duur. Kunnen we dit wel betalen?',"Open een Excel-sheet en maak een simpel budget. 'Wat komt erin, wat gaat eruit, wat hebben we nodig?' Overzicht geeft rust.",Financiële zorgen zijn een van de grootste stressfactoren tijdens de zwangerschap. Open communicatie en een plan zijn essentieel.,Jullie gaan van een 'tweepersoons-economie' naar een 'klein bedrijf'. Het is tijd voor een businessplan.,Twee zoete aardappels die bezorgd naar een rits bonnetjes en een rekenmachine kijken.,https://www.nibud.nl/onderwerpen/kinderen/wat-kost-een-babyuitzet/
145,21,26.39,353.57,Een American Football (jeugdmaat),Ze heeft vandaag een 'ik-wil-alleen-nog-maar-in-een-joggingbroek-leven'-dag.,Moedig het aan. Sterker nog: doe mee. Verklaar het tot 'Official Jogging Trousers Day'. Solidariteit is alles.,Comfort wordt steeds belangrijker. Knellende kleding is de vijand.,"Ze heeft haar uniform voor de komende maanden gekozen. Het is praktisch, comfortabel en multifunctioneel.",Een vrouw die met een zucht van verlichting een spijkerbroek uittrekt en een joggingbroek aantrekt.,https://www.oudersvannu.nl/zwanger/mode-beauty/zwangerschapskleding-tips/
146,21,26.54,364.29,Een American Football (jeugdmaat),"Ze is vandaag aan het dagdromen over hoe het zal zijn als de baby er is. De eerste knuffel, de eerste lach.","Droom met haar mee, maar wees ook realistisch. 'En de eerste poepluier tot aan zijn nek. Dat wordt ook een magisch moment.'","Het romantische beeld van het ouderschap is sterk. Het is goed om te dromen, maar een vleugje realisme kan geen kwaad.",Ze kijkt naar de trailer van de film. Jij hebt de 'making of' al gezien en weet dat er ook wat minder glamoureuze scènes zijn.,"Een hartje van roze wolken, met daarnaast een kleine, realistische tekening van een vieze luier.",https://www.oudersvannu.nl/baby/realistische-verwachtingen-van-het-ouderschap/
147,21,26.7,375.0,Een American Football (jeugdmaat),"Het weekend is hier. Ze wil graag iets doen, maar is ook snel moe. De eeuwige spagaat.","Plan een 'chille' activiteit. Een filmpje pakken (kies een stoel aan het gangpad), een museum bezoeken (veel bankjes), een terrasje pakken (maximale inspanning: bestellen).",De energie van het tweede trimester is niet oneindig. Kies activiteiten die niet te veel fysieke inspanning vragen.,"Haar sociale batterij is een oude smartphone-accu. Hij is zo opgeladen, maar na een uurtje ook weer leeg.",Een batterij-icoontje dat snel van vol naar leeg gaat.,https://www.oudersvannu.nl/zwanger/vrije-tijd/leuke-dingen-doen-tijdens-je-zwangerschap/
148,22,26.86,385.71,Een handbal,Vandaag ontdekt ze misschien de eerste 'tijgerstrepen' (striae) op haar buik of heupen.,Jouw reactie: 'Dat zijn de strepen van een krijger. Het bewijs dat je een mens aan het bouwen bent. Ik vind ze prachtig.',Striae ontstaat doordat het onderhuidse bindweefsel oprekt. Het is grotendeels erfelijk en treft de meeste zwangere vrouwen. Het zijn littekens van een wonder.,Haar lichaam is een landkaart van de reis die jullie maken. De striae zijn de rivieren die door het landschap stromen.,"Een buik met mooie, zachte strepen, waar een klein vlaggetje op geplant is met 'Ik was hier'.",https.www.etos.nl/advies/zwanger/kwaaltjes/striae-voorkomen/
149,22,27.01,396.43,Een handbal,"Ze voelt zich vandaag een beetje 'leeg' of verdrietig, zonder duidelijke reden.","Een knuffel. Geen woorden, geen oplossingen. Gewoon een lange, stevige knuffel. Dat is het antwoord.","Hormonale schommelingen kunnen ook in het tweede trimester nog voor dips zorgen. Het hoeft niks te betekenen, maar het is wel vervelend.",De hormoon-DJ draait vandaag een paar 'sad songs'. Morgen is er weer een ander genre.,Een spaghettipompoen met een traan die uit zijn oog rolt.,https://www.24baby.nl/zwanger/zwangerschapskwalen/stemmingswisselingen-tijdens-zwangerschap/
150,22,27.17,407.14,Een handbal,"De baby reageert op geluid! Als er een deur hard dichtslaat, voelt ze een schop.","Experimenteer! Zet muziek op, praat tegen de buik, zing een liedje. Kijk of je een reactie kunt uitlokken.","Het gehoor van de baby is nu goed ontwikkeld. Hij kan schrikken van harde, onverwachte geluiden en reageren op stemmen en muziek.",Jullie hebben nu een interactief huisdier. Maar dan eentje die in een buik woont.,Een spaghettipompoen met grote oren die reageert op een hard geluid van buitenaf.,https://www.babycenter.nl/a25004926/de-ontwikkeling-van-je-baby-22-weken-zwanger
151,22,27.33,417.86,Een handbal,Ze is vandaag geobsedeerd door de vraag of ze wel een 'goede' moeder zal zijn.,"Zeg: 'Lieve schat, kijk eens wat je nu al allemaal doet en doorstaat. Je bent nu al een superheld. De rest komt vanzelf.'",De mentale voorbereiding op het moederschap is een proces vol zelfreflectie en onzekerheid. Dit is een gezond teken.,Ze staat voor de spiegel en oefent haar 'moeder-gezicht'. Stel haar gerust dat ze er al een heeft.,Een vrouw die in de spiegel kijkt en een schaduw van een superheld met een cape ziet.,https://www.oudersvannu.nl/zwanger/psyche/onzeker-tijdens-zwangerschap/
152,22,27.49,428.57,Een handbal,Ze heeft vandaag een gezwollen gezicht in de ochtend. 'Mijn hoofd is een ballon.',Een koud washandje of een 'ice roller' kan helpen. En zorg dat ze genoeg water drinkt.,"Vocht vasthouden kan overal in het lichaam voorkomen, ook in het gezicht. Het is meestal onschuldig en trekt gedurende de dag weg.",Haar gezicht is 's nachts de opslagplek voor overtollig vocht.,"Een spaghettipompoen met een opgeblazen, rond gezicht.",https://deverloskundige.nl/zwangerschap/subtekstpagina/102/vocht-vasthouden/
153,22,27.64,439.29,Een handbal,Ze heeft vandaag last van brandend maagzuur dat haar 's nachts wakker houdt.,"Extra kussens! Zorg dat ze bijna rechtop slaapt. Het is niet ideaal, maar het helpt tegen het maagzuur.","Als je platter ligt, kan maagzuur makkelijker de slokdarm in stromen. Rechtop slapen kan verlichting geven.",De interne vulkaan is 's nachts het meest actief. Bouw een barrière van kussens om de lava tegen te houden.,Een vrouw die in een troon van kussens in bed zit.,https://www.thuisarts.nl/zwanger/ik-ben-zwanger-en-heb-last-van-maagzuur
