Dag,Week,grootte in cm,gewicht in gr,Baby Size Comparison,Partner Observation,Papa's Life Lesson,Meer informatie,Leuke dingen per dag,Image Idea,Citation
97,14,8.28,53.93,Een handvat van een schroevendraaier,"Ze heeft vandaag een 'ik-wil-alles-regelen'-dag. De kinderopvang, de kraamzorg, het geboortekaartje.","Help haar. Verdeel de taken. Jij belt de kinderopvang, zij zoekt naar geboortekaartjes. Teamwork.",Het tweede trimester is de perfecte tijd om de praktische zaken te regelen. De energie is er en de deadline is nog ver weg.,Jullie zijn de productiemanagers van 'Project Baby'. Vandaag is een dag van logistiek en planning.,Twee blikjes bier die een checklist afvinken.,https://www.oudersvannu.nl/zwanger/checklist-zwangerschap-wat-moet-je-regelen/
98,14,8.5,57.0,Een handvat van een schroevendraaier,"Ze voelt zich vandaag onoverwinnelijk. Ze wil een berg beklimmen. Of in ieder geval de trap, zonder te hijgen.","Moedig haar aan, maar temper haar. 'Laten we beginnen met een lange wandeling, Everest kan volgend jaar wel.'",De energie van het tweede trimester kan haar het gevoel geven dat ze alles aankan. Het is belangrijk om naar haar lichaam te blijven luisteren.,"Ze voelt zich Popeye na een blik spinazie. Jij bent Olijfje die zegt: 'Pas je wel op, Popeye?'",Een zwangere vrouw die haar spierballen toont.,https://www.24baby.nl/zwanger/sporten/sporten-tijdens-zwangerschap/
99,15,8.72,60.07,Een boks-scheenbeschermer,Vandaag kijkt ze in de spiegel en ziet ze dat haar taille officieel verdwenen is. Het is een bitterzoet afscheid.,"Neem een 'voor'-foto van haar. Niet van haar buik, maar van haar. Zodat ze later kan zien hoe prachtig ze was, ook al voelde ze zich een vormeloze massa.","De baby kan nu licht en donker onderscheiden, ook al zijn de oogleden nog gesloten. Het skelet wordt steeds harder.",De kleine is nu een soort levende lichtmeter. En zijn botten zijn aan het veranderen van rubber naar beton.,"Een appel met een fronsend gezichtje, die zijn ogen dichtknijpt tegen een felle lamp.",https://www.24baby.nl/zwanger/zwangerschap-van-week-tot-week/15-weken-zwanger/
100,15,8.94,63.14,Een boks-scheenbeschermer,"Ze heeft vandaag een bloedneus. Zomaar, uit het niets.",Geen paniek. Het is (waarschijnlijk) normaal. Geef haar een tissue en zeg dat het erbij hoort. Je bent de kalmte in de storm.,Door de toegenomen bloedhoeveelheid en hormonen kunnen de kleine bloedvaatjes in haar neus makkelijker knappen.,Haar interne leidingensysteem staat onder hoge druk. Soms springt er een klein ventieltje.,Een appel met een druppeltje bloed uit zijn 'neus'.,https://deverloskundige.nl/zwangerschap/subtekstpagina/100/bloedneus/
101,15,9.16,66.21,Een boks-scheenbeschermer,Ze voelt zich vandaag onzeker over haar rol als moeder. 'Kan ik dit wel?',"Zeg: 'Het feit dat je je dat afvraagt, bewijst dat je een goede moeder wordt. En je doet het niet alleen.'",Twijfels over het moederschap zijn volkomen normaal. Het is een enorme verantwoordelijkheid. Praten helpt.,Ze heeft de sollicitatie voor 'Manager for Life' aangenomen en krijgt nu lichte paniek over de functieomschrijving.,Een appel die met grote ogen naar een handleiding met 'Hoe word ik een moeder' kijkt.,https://www.oudersvannu.nl/zwanger/psyche/onzeker-tijdens-zwangerschap/
102,15,9.39,69.29,Een boks-scheenbeschermer,"Ze heeft vandaag 'ronde bandenpijn', een stekende pijn als ze een plotselinge beweging maakt.","Herinner haar eraan om rustig op te staan en te bewegen. Geen abrupte draaien. Ze is geen sportauto meer, maar een degelijke stationwagen.","De banden die haar baarmoeder dragen, rekken op. Een plotselinge beweging kan een scherpe, maar onschuldige pijn veroorzaken.","De elastieken waar de baby in hangt, staan strak gespannen. Een onverwachte ruk en je voelt het.","Een appel die in een hangmat van elastiek ligt, die plotseling wordt opgerekt.",https://deverloskundige.nl/zwangerschap/subtekstpagina/99/bandenpijn/
103,15,9.61,72.36,Een boks-scheenbeschermer,"Vandaag is ze aan het dagdromen over de baby. Hoe hij eruit zal zien, hoe hij zal zijn.",Droom met haar mee. 'Ik hoop dat hij jouw lach krijgt. En mijn talent voor op de bank liggen.',Dagdromen is een manier om een band te vormen met de ongeboren baby. Het helpt bij het mentale voorbereidingsproces.,Ze is het script aan het schrijven voor een film die ze nog nooit heeft gezien. Jij mag meeschrijven aan de dialogen.,Een appel die op een wolk zit en naar een baby-vormige wolk kijkt.,https://www.babycenter.nl/a25012301/een-band-opbouwen-met-je-ongeboren-baby
104,15,9.83,75.43,Een boks-scheenbeschermer,"Ze heeft vandaag een 'ik-moet-nu-iets-ongezonds-eten'-aanval. Een zak chips, een reep chocola, een hele pizza.",Wees de enabler. Ga naar de supermarkt en haal het. Vandaag is geen dag voor gezondheidsprincipes.,Soms zijn cravings onweerstaanbaar. Eén keer toegeven is geen ramp. Morgen weer een gezonde dag.,De kleine dictator in haar buik eist junkfood. Weigeren kan leiden tot een staatsgreep.,Een appel die boos met zijn vuist op tafel slaat en wijst naar een zak chips.,https://www.oudersvannu.nl/zwanger/voeding/eetbuien-tijdens-je-zwangerschap/
105,15,10.05,78.5,Een boks-scheenbeschermer,Het weekend is in zicht. Ze heeft energie en wil iets ondernemen.,"Plan een dubbel-date met vrienden. Een etentje, een spelletjesavond. Nu kan het nog makkelijk.",Sociale contacten onderhouden is belangrijk. In het tweede trimester is de energie er vaak om dit soort dingen te doen.,Tijd om de 'sociale batterij' op te laden voor de komende periode van huisarrest.,Twee appels die proosten met twee andere appels.,https://www.oudersvannu.nl/zwanger/vrije-tijd/leuke-dingen-doen-tijdens-je-zwangerschap/
106,16,10.27,81.57,Een hamerkop,Vandaag is de dag. Ze voelt misschien voor het eerst een 'plopje' of 'fladdertje'. De eerste beweging.,"Wees stil en leg je hand op haar buik. De kans dat je het voelt is klein, maar de kans dat je het moment deelt is 100%.","Rond week 16 kunnen sommige vrouwen, vooral bij een tweede zwangerschap, de eerste bewegingen voelen. Dit heet 'quickening'.",De baby heeft voor het eerst tegen de binnenmuur getikt. 'Hallo? Is daar iemand?',Een avocado die zachtjes van binnenuit wordt aangetikt.,https://www.24baby.nl/zwanger/zwangerschap-van-week-tot-week/16-weken-zwanger/
107,16,10.49,84.64,Een hamerkop,"Ze twijfelt of het de baby was, of gewoon haar darmen. 'Het voelde als een windje, maar dan anders.'",Zeg: 'Het was 100% de baby. Ons kind is nu al hallo aan het zeggen.' Geef haar de bevestiging.,De eerste bewegingen zijn zo subtiel dat ze makkelijk te verwarren zijn met darmrommelingen.,De baby en de darmen communiceren nu op dezelfde frequentie. Het is aan haar om het verschil te leren horen.,Een baby en een darm die ruzie maken over wie het geluid maakte.,https://deverloskundige.nl/zwangerschap/subtekstpagina/95/je-baby-voelen-bewegen/
108,16,10.71,87.71,Een hamerkop,Ze heeft vandaag last van haar rug. Een zeurende pijn in haar onderrug.,Een warm bad of een warme kruik kan wonderen doen. En een massage van jou is nog beter.,Het extra gewicht van de buik en de veranderende houding kunnen rugpijn veroorzaken.,Haar zwaartepunt is aan het verschuiven. Haar ruggengraat protesteert tegen deze nieuwe realiteit.,Een avocado die probeert een zware rugzak (de baarmoeder) recht te houden.,https://www.thuisarts.nl/zwanger/ik-ben-zwanger-en-heb-pijn-in-mijn-rug-en-bekken
109,16,10.94,90.79,Een hamerkop,"Ze heeft vandaag een 'glow up'. Haar haar is voller, haar nagels zijn sterker.","Merk het op. 'Wow, je haar zit echt goed vandaag.' Kleine complimentjes, groot effect.","Zwangerschapshormonen kunnen ervoor zorgen dat je minder haar verliest, waardoor het voller lijkt. Ook nagels kunnen harder worden.",De hormonen geven haar een natuurlijke 'beauty boost'. Profiteer ervan.,"Een avocado met een glanzende, volle bos haar.",https://www.24baby.nl/zwanger/mode-beauty/haar-en-nagels-tijdens-zwangerschap/
110,16,11.16,93.86,Een hamerkop,Ze begint zich zorgen te maken over de 20-wekenecho. 'Wat als er iets niet goed is?',"Zeg: 'We gaan er vanuit dat alles goed is. En als dat niet zo is, dan dealen we daar samen mee.' Het 'samen'-gedeelte is de sleutel.",De 20-wekenecho is een gedetailleerd medisch onderzoek. Het is normaal om hier zenuwachtig voor te zijn.,Dit is de 'grote inspectie'. Alle onderdelen worden gecontroleerd. Logisch dat de fabrikanten (jullie) zenuwachtig zijn.,Een avocado die met een vergrootglas wordt onderzocht.,https://deverloskundige.nl/zwangerschap/subtekstpagina/25/de-20-weken-echo/
111,16,11.38,96.93,Een hamerkop,"Ze heeft vandaag last van kramp in haar kuiten, vooral 's nachts.",Help haar de kramp eruit te rekken. Duw haar tenen zachtjes naar haar toe. Je bent nu ook fysiotherapeut.,"Kuitkrampen komen vaak voor. De oorzaak is niet helemaal duidelijk, maar het kan te maken hebben met de druk op de bloedvaten of een tekort aan mineralen.",Haar benen leiden 's nachts een eigen leven.,Een avocado met een been dat in de knoop zit.,https://www.thuisarts.nl/kuitkrampen/ik-heb-last-van-kuitkrampen
112,16,11.6,100.0,Een hamerkop,Het weekend is er. Ze heeft energie. Tijd om te gaan 'baby-shoppen'.,Stel een budget in voordat je de winkel in gaat. Anders kom je thuis met een designer-romper van 80 euro en geen geld meer voor luiers.,Babywinkels zijn ontworpen om je geld afhandig te maken. Een goede voorbereiding en een lijstje zijn essentieel.,"Jullie zijn als twee vliegen die op een grote, zoete stroopwafel afvliegen. Probeer niet te blijven plakken.",Twee avocado's die met een boodschappenlijstje en een klein budget een enorme babywinkel binnenlopen.,https://www.nibud.nl/onderwerpen/kinderen/wat-kost-een-babyuitzet/
113,17,12.1,107.14,Een maat 42 schoenlepel,Vandaag is ze emotioneel omdat ze een liedje op de radio hoort. Ze besluit dat dit 'het liedje van de baby' is.,Download het liedje. Zet het op een playlist. Dit is het soort sentimentele onzin waar je later heel blij mee zult zijn.,De oren van de baby zijn nu aangesloten op de hersenen. Hij kan jullie stemmen en muziek nu echt horen en herkennen.,De baby heeft zijn eerste favoriete nummer. En hij heeft niet eens Spotify.,Een bierflesje met een koptelefoon op.,https://www.24baby.nl/zwanger/zwangerschap-van-week-tot-week/17-weken-zwanger/
